ClusterName,0,1,neighborhood name
granulocytes,12,611,Granulocyte enriched
granulocytes,12,741,Granulocyte enriched
granulocytes,16,759,Granulocyte enriched
granulocytes,15,1027,Granulocyte enriched
granulocytes,15,1126,Granulocyte enriched
granulocytes,37,656,Granulocyte enriched
granulocytes,52,485,Macrophage enriched
granulocytes,46,740,Granulocyte enriched
granulocytes,36,709,Granulocyte enriched
granulocytes,44,835,T cell enriched
granulocytes,48,557,Macrophage enriched
granulocytes,59,654,Granulocyte enriched
granulocytes,47,900,Tumor boundary
granulocytes,33,1245,Bulk tumor
granulocytes,42,1034,Granulocyte enriched
granulocytes,57,1050,Granulocyte enriched
granulocytes,74,613,Granulocyte enriched
granulocytes,60,1011,Granulocyte enriched
granulocytes,83,494,Macrophage enriched
granulocytes,78,1019,Granulocyte enriched
granulocytes,98,1031,Granulocyte enriched
granulocytes,90,1000,Granulocyte enriched
granulocytes,111,392,Macrophage enriched
granulocytes,114,601,Granulocyte enriched
granulocytes,113,987,Granulocyte enriched
granulocytes,117,1022,Granulocyte enriched
granulocytes,118,618,Granulocyte enriched
granulocytes,135,570,Granulocyte enriched
granulocytes,126,666,Granulocyte enriched
granulocytes,136,1042,Granulocyte enriched
granulocytes,144,523,Granulocyte enriched
granulocytes,147,412,Granulocyte enriched
granulocytes,138,1016,Granulocyte enriched
granulocytes,161,360,Granulocyte enriched
granulocytes,149,678,Granulocyte enriched
granulocytes,145,990,Granulocyte enriched
granulocytes,146,1094,Granulocyte enriched
granulocytes,166,644,Granulocyte enriched
granulocytes,155,1021,Granulocyte enriched
granulocytes,172,602,Granulocyte enriched
granulocytes,170,556,Granulocyte enriched
granulocytes,169,584,Granulocyte enriched
granulocytes,181,346,Granulocyte enriched
granulocytes,168,1077,Granulocyte enriched
granulocytes,187,420,Granulocyte enriched
granulocytes,173,501,Granulocyte enriched
granulocytes,188,605,Granulocyte enriched
granulocytes,189,524,Granulocyte enriched
granulocytes,175,702,Granulocyte enriched
granulocytes,187,1303,Tumor boundary
granulocytes,185,962,Granulocyte enriched
granulocytes,193,1030,Granulocyte enriched
granulocytes,185,1109,Granulocyte enriched
granulocytes,198,550,Granulocyte enriched
granulocytes,213,390,Granulocyte enriched
granulocytes,203,807,Granulocyte enriched
granulocytes,215,425,Granulocyte enriched
granulocytes,205,682,Granulocyte enriched
granulocytes,213,1074,Granulocyte enriched
granulocytes,222,744,Granulocyte enriched
granulocytes,217,719,Granulocyte enriched
granulocytes,223,399,Granulocyte enriched
granulocytes,212,1318,Tumor boundary
granulocytes,240,263,Granulocyte enriched
granulocytes,243,313,Granulocyte enriched
granulocytes,245,429,Granulocyte enriched
granulocytes,237,382,Granulocyte enriched
granulocytes,238,544,Macrophage enriched
granulocytes,248,329,Granulocyte enriched
granulocytes,248,458,Granulocyte enriched
granulocytes,250,270,Granulocyte enriched
granulocytes,255,307,Granulocyte enriched
granulocytes,241,1115,Granulocyte enriched
granulocytes,251,582,Granulocyte enriched
granulocytes,236,1052,Granulocyte enriched
granulocytes,233,1020,Granulocyte enriched
granulocytes,250,844,Tumor boundary
granulocytes,258,603,Granulocyte enriched
granulocytes,278,352,Granulocyte enriched
granulocytes,269,1076,Tumor boundary
granulocytes,268,1354,Tumor boundary
granulocytes,264,823,Granulocyte enriched
granulocytes,280,596,Granulocyte enriched
granulocytes,284,279,Granulocyte enriched
granulocytes,291,420,Granulocyte enriched
granulocytes,301,503,Granulocyte enriched
granulocytes,306,452,Granulocyte enriched
granulocytes,289,1097,Granulocyte enriched
granulocytes,297,778,Granulocyte enriched
granulocytes,309,758,Granulocyte enriched
granulocytes,309,776,Granulocyte enriched
granulocytes,305,664,Granulocyte enriched
granulocytes,312,329,Granulocyte enriched
granulocytes,312,532,Granulocyte enriched
granulocytes,310,591,Granulocyte enriched
granulocytes,318,230,Granulocyte enriched
granulocytes,316,662,Granulocyte enriched
granulocytes,317,615,Granulocyte enriched
granulocytes,320,1137,Tumor boundary
granulocytes,331,714,Granulocyte enriched
granulocytes,336,246,Granulocyte enriched
granulocytes,336,301,Granulocyte enriched
granulocytes,336,534,Granulocyte enriched
granulocytes,334,675,Granulocyte enriched
granulocytes,351,655,Granulocyte enriched
granulocytes,356,258,Granulocyte enriched
granulocytes,340,1378,Granulocyte enriched
granulocytes,354,583,Granulocyte enriched
granulocytes,352,617,Granulocyte enriched
granulocytes,358,485,Granulocyte enriched
granulocytes,361,363,Granulocyte enriched
granulocytes,363,322,Granulocyte enriched
granulocytes,355,560,Macrophage enriched
granulocytes,365,224,Granulocyte enriched
granulocytes,367,380,Granulocyte enriched
granulocytes,374,184,Granulocyte enriched
granulocytes,371,258,Granulocyte enriched
granulocytes,381,388,Granulocyte enriched
granulocytes,371,641,Granulocyte enriched
granulocytes,371,731,Granulocyte enriched
granulocytes,385,334,Granulocyte enriched
granulocytes,383,663,Granulocyte enriched
granulocytes,379,791,Granulocyte enriched
granulocytes,384,613,Granulocyte enriched
granulocytes,390,452,Granulocyte enriched
granulocytes,399,223,Granulocyte enriched
