ClusterName,0,1,neighborhood name
granulocytes,206,620,Macrophage enriched
granulocytes,371,1030,Granulocyte enriched
granulocytes,397,978,Granulocyte enriched
granulocytes,400,948,Granulocyte enriched
granulocytes,439,270,Immune-infiltrated stroma
granulocytes,413,950,Granulocyte enriched
granulocytes,426,903,Granulocyte enriched
granulocytes,426,941,Granulocyte enriched
granulocytes,412,1032,Granulocyte enriched
granulocytes,421,1002,Granulocyte enriched
granulocytes,439,890,Granulocyte enriched
granulocytes,443,771,Granulocyte enriched
granulocytes,443,914,Granulocyte enriched
granulocytes,467,819,Granulocyte enriched
granulocytes,506,13,Follicle
granulocytes,465,791,Granulocyte enriched
granulocytes,492,825,Granulocyte enriched
granulocytes,528,787,Granulocyte enriched
granulocytes,786,647,Granulocyte enriched
granulocytes,812,619,Granulocyte enriched
granulocytes,811,561,Granulocyte enriched
granulocytes,829,601,Granulocyte enriched
granulocytes,822,529,Granulocyte enriched
granulocytes,875,467,Granulocyte enriched
granulocytes,889,437,Granulocyte enriched
granulocytes,903,420,Granulocyte enriched
granulocytes,906,519,Granulocyte enriched
granulocytes,933,427,Granulocyte enriched
granulocytes,972,324,Immune-infiltrated stroma
granulocytes,1535,511,T cell enriched
granulocytes,1577,803,T cell enriched
granulocytes,1647,768,Immune-infiltrated stroma
vasculature,121,479,T cell enriched
vasculature,262,877,T cell enriched
vasculature,302,1169,Macrophage enriched
vasculature,334,595,T cell enriched
vasculature,321,768,T cell enriched
vasculature,320,1130,Macrophage enriched
vasculature,346,1105,Tumor boundary
vasculature,366,741,T cell enriched
vasculature,426,253,Immune-infiltrated stroma
vasculature,411,721,Vascularized smooth muscle
vasculature,414,696,Vascularized smooth muscle
vasculature,426,528,Immune-infiltrated stroma
vasculature,424,762,T cell enriched
vasculature,430,1017,Granulocyte enriched
vasculature,473,120,Follicle
vasculature,479,452,Immune-infiltrated stroma
vasculature,470,641,Immune-infiltrated stroma
vasculature,456,864,Granulocyte enriched
vasculature,485,544,Immune-infiltrated stroma
vasculature,487,583,Immune-infiltrated stroma
vasculature,490,777,Granulocyte enriched
vasculature,491,635,Immune-infiltrated stroma
vasculature,504,734,Vascularized smooth muscle
vasculature,536,71,Follicle
vasculature,516,562,Immune-infiltrated stroma
vasculature,509,707,Immune-infiltrated stroma
vasculature,515,668,Immune-infiltrated stroma
vasculature,511,600,Immune-infiltrated stroma
vasculature,549,421,Immune-infiltrated stroma
vasculature,529,930,Immune-infiltrated stroma
vasculature,551,703,Immune-infiltrated stroma
vasculature,566,375,Immune-infiltrated stroma
vasculature,575,455,Immune-infiltrated stroma
vasculature,580,436,Immune-infiltrated stroma
vasculature,599,79,Follicle
vasculature,553,892,Immune-infiltrated stroma
vasculature,613,377,T cell enriched
vasculature,663,164,Follicle
vasculature,684,162,Immune-infiltrated stroma
vasculature,700,78,Follicle
vasculature,723,220,T cell enriched
vasculature,760,18,Follicle
vasculature,757,151,Macrophage enriched
vasculature,787,573,Granulocyte enriched
vasculature,1215,556,Macrophage enriched
vasculature,1211,468,Macrophage enriched
vasculature,1212,780,Macrophage enriched
vasculature,1223,933,Macrophage enriched
vasculature,1207,1319,Macrophage enriched
vasculature,1261,744,Macrophage enriched
vasculature,1515,181,Macrophage enriched
vasculature,1514,526,T cell enriched
vasculature,1535,553,T cell enriched
vasculature,1619,791,T cell enriched
vasculature,1638,779,T cell enriched
vasculature,1665,498,Immune-infiltrated stroma
vasculature,1681,527,Immune-infiltrated stroma
vasculature,1722,1109,T cell enriched
CD4+ T cells CD45RO+,114,507,T cell enriched
CD4+ T cells CD45RO+,183,529,T cell enriched
CD4+ T cells CD45RO+,239,448,T cell enriched
CD4+ T cells CD45RO+,250,284,Follicle
CD4+ T cells CD45RO+,262,511,Follicle
CD4+ T cells CD45RO+,287,518,T cell enriched
CD4+ T cells CD45RO+,311,306,Follicle
CD4+ T cells CD45RO+,338,454,Immune-infiltrated stroma
CD4+ T cells CD45RO+,362,308,Immune-infiltrated stroma
CD4+ T cells CD45RO+,422,468,Immune-infiltrated stroma
CD4+ T cells CD45RO+,441,186,Follicle
CD4+ T cells CD45RO+,546,320,Follicle
CD4+ T cells CD45RO+,557,204,Follicle
CD4+ T cells CD45RO+,564,120,T cell enriched
CD4+ T cells CD45RO+,572,107,Follicle
CD4+ T cells CD45RO+,640,11,Follicle
CD4+ T cells CD45RO+,765,101,Macrophage enriched
