NAME,X,Y,X-scaled,Y-scaled,label,top_level_cell_type,sub_level_cell_type
59045,6170,22204,1851,6662,8months-disease-replicate_1,CTX-Ex,CTX-Ex2
59051,4679,22197,1403,6659,8months-disease-replicate_1,CTX-Ex,CTX-Ex2
59052,4064,22197,1219,6659,8months-disease-replicate_1,SMC,S2
59055,5249,22181,1574,6655,8months-disease-replicate_1,Inh,Pvalb
59056,2201,22175,660,6653,8months-disease-replicate_1,CTX-Ex,CTX-Ex1
59058,8830,22172,2649,6652,8months-disease-replicate_1,CTX-Ex,CTX-Ex2
59059,1272,22169,381,6651,8months-disease-replicate_1,CTX-Ex,CTX-Ex2
59060,1556,22168,466,6651,8months-disease-replicate_1,CTX-Ex,CTX-Ex2
59061,6784,22170,2035,6651,8months-disease-replicate_1,CTX-Ex,CTX-Ex2
59062,9751,22174,2925,6653,8months-disease-replicate_1,CTX-Ex,CTX-Ex2
59064,17116,22168,5134,6651,8months-disease-replicate_1,SMC,S4
59065,3432,22170,1029,6651,8months-disease-replicate_1,CTX-Ex,CTX-Ex2
59066,10591,22170,3177,6651,8months-disease-replicate_1,CTX-Ex,CTX-Ex3
59067,7174,22154,2152,6647,8months-disease-replicate_1,CTX-Ex,CTX-Ex2
59068,16207,22158,4862,6648,8months-disease-replicate_1,Endo,Endo1
59071,7077,22140,2123,6642,8months-disease-replicate_1,Micro,Micro1
59072,1143,22138,342,6642,8months-disease-replicate_1,CTX-Ex,CTX-Ex1
59073,3258,22132,977,6640,8months-disease-replicate_1,CTX-Ex,CTX-Ex2
59074,907,22146,272,6644,8months-disease-replicate_1,OPC,OPC
59075,12157,22142,3647,6643,8months-disease-replicate_1,Micro,Micro1
59076,17661,22128,5298,6639,8months-disease-replicate_1,SMC,S3
59077,17560,22124,5268,6638,8months-disease-replicate_1,SMC,S3
59078,6293,22118,1887,6636,8months-disease-replicate_1,CTX-Ex,CTX-Ex3
59079,7377,22088,2213,6627,8months-disease-replicate_1,CTX-Ex,CTX-Ex2
59080,9085,22113,2725,6634,8months-disease-replicate_1,Micro,Micro1
59081,10085,22107,3025,6632,8months-disease-replicate_1,CTX-Ex,CTX-Ex1
59082,17822,22108,5346,6633,8months-disease-replicate_1,Micro,Micro1
59083,10909,22113,3272,6634,8months-disease-replicate_1,CTX-Ex,CTX-Ex1
59084,1457,22112,437,6634,8months-disease-replicate_1,Oligo,Oligo1
59085,9892,22102,2967,6631,8months-disease-replicate_1,Endo,Endo1
59086,1330,22103,399,6631,8months-disease-replicate_1,Oligo,Oligo1
59087,10598,22106,3179,6632,8months-disease-replicate_1,Inh,Pvalb
59088,2689,22105,806,6632,8months-disease-replicate_1,Astro,Astro2
59090,17482,22104,5244,6632,8months-disease-replicate_1,SMC,S3
59091,3389,22097,1016,6629,8months-disease-replicate_1,CTX-Ex,CTX-Ex2
59093,9471,22090,2841,6627,8months-disease-replicate_1,CTX-Ex,CTX-Ex2
59094,17743,22097,5322,6629,8months-disease-replicate_1,SMC,S3
59095,3129,22091,938,6628,8months-disease-replicate_1,CTX-Ex,CTX-Ex2
59097,7724,22083,2317,6625,8months-disease-replicate_1,SMC,S4
59099,5006,22070,1501,6621,8months-disease-replicate_1,Oligo,Oligo3
59100,8520,22061,2556,6619,8months-disease-replicate_1,CTX-Ex,CTX-Ex1
59101,2871,22058,861,6618,8months-disease-replicate_1,CTX-Ex,CTX-Ex2
59102,9342,22056,2802,6617,8months-disease-replicate_1,CTX-Ex,CTX-Ex1
59103,15175,22058,4552,6618,8months-disease-replicate_1,Astro,Astro1
59104,5282,22061,1584,6619,8months-disease-replicate_1,CTX-Ex,CTX-Ex1
59106,11213,22039,3363,6612,8months-disease-replicate_1,CTX-Ex,CTX-Ex2
59107,17605,22040,5281,6612,8months-disease-replicate_1,Astro,Astro3
59108,11132,22032,3339,6610,8months-disease-replicate_1,Endo,Endo1
59109,8025,22030,2407,6609,8months-disease-replicate_1,CTX-Ex,CTX-Ex2
59110,2668,22031,800,6610,8months-disease-replicate_1,CTX-Ex,CTX-Ex2
59111,2797,22028,839,6609,8months-disease-replicate_1,CTX-Ex,CTX-Ex2
59112,3431,22035,1029,6611,8months-disease-replicate_1,CTX-Ex,CTX-Ex2
59113,17707,22024,5312,6608,8months-disease-replicate_1,Astro,Astro3
59114,3565,22035,1069,6611,8months-disease-replicate_1,Micro,Micro1
59115,12464,22017,3739,6605,8months-disease-replicate_1,Astro,Astro2
59116,5702,22004,1710,6602,8months-disease-replicate_1,CTX-Ex,CTX-Ex2
59117,7573,22018,2271,6606,8months-disease-replicate_1,SMC,S5
59118,6027,22014,1808,6605,8months-disease-replicate_1,Endo,Endo1
59119,10992,22014,3297,6605,8months-disease-replicate_1,CTX-Ex,CTX-Ex1
59120,3942,22011,1182,6604,8months-disease-replicate_1,Oligo,Oligo1
59122,4294,21985,1288,6596,8months-disease-replicate_1,Endo,Endo1
59123,2514,22033,754,6610,8months-disease-replicate_1,Micro,Micro1
59124,17789,22003,5336,6601,8months-disease-replicate_1,Astro,Astro1
59125,6506,22011,1951,6604,8months-disease-replicate_1,Inh,Pvalb
59126,1495,22001,448,6601,8months-disease-replicate_1,CA1,CA1-Ex
59127,10508,22001,3152,6601,8months-disease-replicate_1,CTX-Ex,CTX-Ex2
59128,17870,21994,5361,6599,8months-disease-replicate_1,SMC,S3
59129,3710,21987,1113,6596,8months-disease-replicate_1,CTX-Ex,CTX-Ex1
59130,18035,21996,5410,6599,8months-disease-replicate_1,SMC,S3
59131,11969,21983,3590,6595,8months-disease-replicate_1,Inh,Vip
59133,9825,21980,2947,6594,8months-disease-replicate_1,Oligo,Oligo1
